XYZ[0][m],XYZ[1][m],XYZ[2][m],Deviation[],Amplitude[dB],Reflectance[dB],True Color[0][],True Color[2][],True Color[3][]
-0.07050,2.58000,-0.39850,2,15.35,-16.18,33,18,1
-0.06450,2.58075,-0.39875,5,15.40,-16.32,28,13,1
-0.06625,2.58125,-0.39800,1,15.43,-16.10,37,18,1
-0.07900,2.58500,-0.39825,2,15.24,-16.55,27,14,1
-0.07900,2.58650,-0.39900,2,15.09,-16.70,27,13,1
-0.07925,2.58700,-0.39775,3,15.24,-16.25,33,20,1
-0.07525,2.58400,-0.39975,3,15.24,-16.53,26,14,1
-0.07450,2.58550,-0.39850,0,15.27,-16.50,26,14,1
-0.07375,2.58650,-0.39925,3,15.53,-16.24,25,14,1
-0.07550,2.58600,-0.39800,1,16.92,-16.72,16,0,1
-0.07525,2.58725,-0.39750,2,15.03,-16.47,32,17,1
-0.07275,2.58775,-0.39775,1,15.16,-16.34,33,18,1
-0.07700,2.58875,-0.39850,2,14.93,-16.86,25,13,1
-0.07850,2.59125,-0.39825,1,15.55,-16.25,26,14,1
-0.07725,2.59125,-0.39875,0,15.21,-16.27,32,20,1
-0.07675,2.58850,-0.39775,6,15.43,-16.06,32,18,1
-0.07425,2.58800,-0.39825,0,15.57,-15.92,32,20,1
-0.07550,2.58950,-0.39900,3,15.37,-16.41,26,14,1
-0.07275,2.58800,-0.39900,0,15.34,-16.15,33,21,1
-0.07550,2.59100,-0.39850,1,15.32,-16.47,26,14,1
-0.07225,2.59050,-0.39850,6,15.19,-16.58,25,13,1
-0.06950,2.58475,-0.39825,3,15.39,-16.12,34,21,1
-0.06850,2.58650,-0.39725,0,15.42,-16.08,34,18,1
-0.06775,2.58450,-0.39900,1,15.45,-16.29,27,15,1
-0.06750,2.58400,-0.39825,1,16.91,-16.73,18,1,1
-0.06525,2.58450,-0.39825,3,15.54,-15.97,37,18,1
-0.06700,2.58725,-0.39825,1,15.44,-16.06,37,18,1
-0.06550,2.58475,-0.39800,0,15.55,-16.18,26,14,1
-0.06850,2.58825,-0.39825,4,15.53,-15.96,35,20,1
-0.07000,2.59050,-0.39875,1,15.37,-16.39,28,15,1
-0.07025,2.59150,-0.39800,5,17.06,-16.58,19,0,1
-0.06475,2.58925,-0.39775,3,15.30,-16.19,34,19,1
-0.06500,2.59150,-0.39775,3,17.31,-16.33,19,0,1
-0.10475,2.59925,-0.39850,3,15.01,-16.91,27,14,1
-0.09700,2.59275,-0.39925,0,15.37,-16.51,26,14,1
-0.09900,2.59575,-0.39875,2,15.09,-16.80,26,14,1
-0.09625,2.59550,-0.39825,1,15.41,-16.04,31,19,1
-0.10200,2.59650,-0.39775,2,16.59,-17.05,16,1,1
-0.10075,2.59875,-0.39775,1,15.46,-15.97,31,19,1
-0.09775,2.59600,-0.39850,1,15.50,-15.95,31,19,1
