XYZ[0][m],XYZ[1][m],XYZ[2][m],Deviation[],Amplitude[dB],Reflectance[dB],True Color[0][],True Color[2][],True Color[3][]
0.01050,2.70650,-0.36125,5,24.62,-6.31,9,0,1
0.01175,2.70750,-0.36150,3,24.81,-6.12,10,0,1
0.01200,2.70650,-0.36300,2,24.74,-6.19,10,0,1
0.01300,2.70750,-0.36250,3,24.80,-6.13,9,0,1
0.01450,2.70625,-0.36325,3,24.63,-6.31,10,0,1
0.01425,2.70775,-0.36050,2,24.56,-6.37,9,0,1
0.01150,2.70800,-0.36400,4,25.13,-5.80,10,0,1
0.01150,2.70850,-0.36025,1,24.87,-6.05,9,0,1
0.01275,2.70875,-0.36350,3,24.79,-6.14,8,0,1
0.01500,2.71000,-0.36325,0,24.04,-6.88,9,0,1
0.01275,2.70875,-0.36100,3,24.70,-6.22,9,0,1
0.01425,2.70850,-0.36175,2,24.24,-6.69,10,0,1
0.01525,2.70900,-0.36075,3,24.06,-6.86,9,0,1
0.01500,2.71000,-0.36200,3,24.25,-6.67,10,0,1
0.00075,2.70475,-0.36000,4,24.22,-6.71,9,0,1
0.00175,2.70575,-0.35975,1,24.41,-6.52,9,0,1
0.00075,2.70425,-0.35900,4,24.13,-6.80,9,0,1
0.00325,2.70550,-0.35950,0,24.40,-6.53,9,0,1
0.00225,2.70400,-0.35875,3,24.60,-6.34,10,0,1
0.00325,2.70475,-0.35825,2,24.43,-6.50,10,0,1
0.00075,2.70475,-0.35775,2,24.27,-6.66,10,0,1
0.00075,2.70425,-0.35650,1,24.72,-6.21,9,0,1
0.00325,2.70450,-0.35725,1,23.98,-6.95,10,0,1
0.00150,2.70700,-0.35700,1,24.54,-6.38,9,0,1
0.00450,2.70525,-0.35900,3,24.21,-6.72,10,0,1
0.00700,2.70450,-0.35925,1,24.16,-6.78,10,0,1
0.00550,2.70625,-0.35950,1,24.10,-6.83,9,0,1
0.00450,2.70575,-0.35650,1,24.31,-6.62,9,0,1
0.00425,2.70700,-0.35750,2,24.15,-6.77,10,0,1
0.00525,2.70775,-0.35800,0,24.27,-6.65,10,0,1
0.00550,2.70600,-0.35700,3,24.43,-6.50,10,0,1
0.00675,2.70725,-0.35750,1,24.04,-6.88,10,0,1
0.00675,2.70725,-0.35625,1,23.83,-7.09,9,0,1
0.00750,2.70925,-0.35800,1,24.78,-6.13,10,0,1
0.00075,2.70450,-0.35525,4,24.31,-6.62,9,0,1
0.00200,2.70475,-0.35600,2,23.83,-7.10,10,0,1
0.00350,2.70400,-0.35600,2,23.65,-7.28,9,0,1
0.00325,2.70550,-0.35450,4,23.90,-7.03,9,0,1
0.00175,2.70700,-0.35450,1,24.16,-6.76,9,0,1
0.00075,2.70525,-0.35375,1,24.03,-6.89,9,0,1
0.00075,2.70550,-0.35250,2,23.87,-7.05,9,0,1
0.00200,2.70525,-0.35350,3,24.00,-6.92,9,0,1
0.00575,2.70450,-0.35475,2,24.24,-6.69,9,0,1
0.00550,2.70700,-0.35550,4,24.45,-6.47,10,0,1
0.00425,2.70625,-0.35500,3,24.27,-6.65,10,0,1
0.00550,2.70600,-0.35325,6,23.87,-7.05,9,0,1
0.00425,2.70725,-0.35375,2,24.08,-6.84,9,0,1
0.00400,2.70775,-0.35225,5,24.25,-6.66,9,0,1
0.00675,2.70625,-0.35400,2,23.91,-7.01,9,0,1
0.00675,2.70600,-0.35275,4,24.24,-6.69,9,0,1
0.00650,2.70850,-0.35475,0,24.37,-6.54,9,0,1
0.00775,2.70850,-0.35300,1,24.13,-6.78,10,0,1
0.00950,2.70575,-0.35825,5,24.39,-6.54,8,0,1
0.00800,2.70600,-0.35975,0,24.23,-6.70,9,0,1
0.00925,2.70750,-0.35925,2,24.86,-6.07,8,0,1
0.01050,2.70775,-0.36000,2,24.72,-6.21,10,0,1
0.01175,2.70750,-0.35900,5,24.60,-6.33,9,0,1
0.00800,2.70600,-0.35725,2,24.37,-6.56,10,0,1
0.00925,2.70700,-0.35675,1,24.36,-6.57,8,0,1
0.01050,2.70725,-0.35725,1,24.20,-6.73,10,0,1
0.01175,2.70725,-0.35775,3,24.54,-6.39,11,0,1
0.01325,2.70700,-0.36000,3,24.69,-6.24,9,0,1
0.01550,2.70775,-0.35975,4,24.41,-6.52,9,0,1
0.01200,2.70600,-0.35675,1,24.31,-6.62,10,0,1
0.01025,2.70800,-0.35850,1,24.56,-6.36,9,0,1
0.01525,2.70900,-0.35825,5,24.28,-6.64,9,0,1
0.01400,2.71025,-0.35875,1,24.32,-6.60,9,0,1
0.01275,2.70900,-0.35700,1,24.14,-6.78,9,0,1
0.01425,2.70850,-0.35775,2,24.02,-6.90,9,0,1
0.01400,2.70900,-0.35650,4,24.44,-6.48,10,0,1
0.01525,2.70900,-0.35700,3,23.83,-7.09,10,0,1
0.01225,2.71075,-0.35800,1,24.77,-6.14,10,0,1
0.00825,2.70550,-0.35600,4,24.21,-6.72,9,0,1
0.00850,2.70500,-0.35475,4,24.18,-6.75,9,0,1
0.01050,2.70700,-0.35500,3,24.63,-6.29,8,0,1
0.00925,2.70700,-0.35300,2,24.70,-6.22,8,0,1
0.01050,2.70750,-0.35350,2,24.84,-6.08,9,0,1
0.01075,2.70675,-0.35250,4,24.76,-6.16,9,0,1
0.01425,2.70775,-0.35550,3,24.01,-6.92,9,0,1
0.01300,2.70725,-0.35225,2,24.60,-6.32,10,0,1
0.00900,2.70900,-0.35500,0,24.30,-6.61,9,0,1
0.01025,2.70850,-0.35600,1,24.36,-6.56,9,0,1
0.01150,2.70900,-0.35500,0,24.31,-6.61,10,0,1
0.00900,2.70875,-0.35375,2,24.46,-6.45,8,0,1
0.01150,2.70850,-0.35375,1,24.09,-6.83,10,0,1
0.01150,2.70875,-0.35250,1,25.17,-5.75,9,0,1
0.01250,2.70925,-0.35450,1,24.02,-6.90,9,0,1
0.01250,2.71050,-0.35550,2,24.31,-6.60,9,0,1
0.01525,2.71000,-0.35575,3,23.88,-7.04,9,0,1
0.01525,2.71000,-0.35425,2,23.87,-7.04,9,0,1
0.01300,2.70800,-0.35350,4,24.46,-6.46,9,0,1
0.01400,2.70950,-0.35375,3,24.13,-6.79,9,0,1
0.01400,2.71000,-0.35250,3,24.13,-6.78,9,0,1
0.01475,2.71100,-0.35300,3,24.23,-6.68,9,0,1
0.01800,2.70775,-0.36775,2,24.45,-6.49,10,0,1
0.01850,2.70650,-0.36700,4,24.32,-6.63,9,0,1
0.01675,2.70775,-0.36550,2,24.54,-6.40,9,0,1
0.01950,2.70725,-0.36600,7,24.32,-6.62,10,0,1
0.02350,2.70650,-0.36750,5,24.21,-6.74,9,0,1
0.01650,2.70925,-0.36800,1,23.94,-6.99,10,0,1
0.01950,2.70825,-0.36725,2,23.91,-7.03,9,0,1
0.01625,2.71000,-0.36650,2,24.02,-6.90,9,0,1
0.01875,2.71125,-0.36800,0,24.24,-6.68,10,0,1
0.01775,2.70925,-0.36500,2,24.49,-6.44,9,0,1
0.01900,2.70975,-0.36450,2,24.39,-6.54,10,0,1
0.02025,2.70950,-0.36800,3,24.03,-6.90,9,0,1
0.02075,2.70825,-0.36675,1,24.06,-6.88,9,0,1
0.02300,2.70925,-0.36800,6,23.83,-7.11,10,0,1
0.02150,2.71100,-0.36700,3,23.87,-7.06,10,0,1
0.02375,2.71075,-0.36725,1,23.89,-7.04,9,0,1
0.02050,2.70875,-0.36550,1,24.07,-6.86,10,0,1
0.02125,2.71150,-0.36575,4,24.25,-6.67,9,0,1
0.02125,2.71150,-0.36450,2,23.88,-7.04,10,0,1
0.02275,2.71150,-0.36500,1,24.14,-6.78,10,0,1
0.02375,2.71125,-0.36450,3,24.07,-6.85,9,0,1
0.01675,2.70775,-0.36175,3,23.75,-7.18,9,0,1
0.01650,2.70925,-0.36400,2,24.45,-6.48,9,0,1
0.01650,2.70875,-0.36300,4,24.09,-6.84,9,0,1
0.01775,2.70950,-0.36250,3,23.97,-6.96,9,0,1
0.01800,2.70850,-0.36400,2,24.31,-6.62,9,0,1
0.01925,2.70850,-0.36225,3,23.90,-7.03,10,0,1
0.01875,2.71150,-0.36300,0,24.38,-6.54,10,0,1
0.01650,2.70875,-0.36050,2,24.52,-6.41,9,0,1
0.01900,2.70975,-0.36050,0,24.15,-6.78,9,0,1
0.01750,2.71050,-0.36100,1,24.09,-6.83,9,0,1
0.02150,2.70950,-0.36350,3,24.09,-6.84,9,0,1
0.02025,2.71000,-0.36400,1,24.07,-6.86,9,0,1
0.02000,2.71100,-0.36250,4,24.07,-6.85,9,0,1
0.02375,2.71125,-0.36325,3,24.25,-6.67,9,0,1
0.02275,2.71050,-0.36275,1,24.23,-6.70,9,0,1
0.02150,2.71025,-0.36200,5,24.29,-6.63,9,0,1
0.02000,2.71100,-0.36125,1,24.20,-6.72,9,0,1
0.02150,2.71150,-0.36050,3,23.91,-7.01,10,0,1
0.02375,2.71100,-0.36200,2,24.25,-6.67,9,0,1
0.02575,2.70950,-0.36675,1,24.03,-6.91,9,0,1
0.02500,2.71150,-0.36775,3,24.25,-6.68,9,0,1
0.02550,2.70975,-0.36550,1,23.91,-7.02,9,0,1
0.02650,2.71125,-0.36600,2,23.94,-6.99,9,0,1
0.02775,2.71175,-0.36575,5,24.24,-6.69,9,0,1
0.02800,2.71025,-0.36750,4,23.80,-7.14,9,0,1
0.03025,2.71175,-0.36450,2,24.26,-6.67,9,0,1
0.02525,2.71025,-0.36275,1,24.23,-6.70,9,0,1
0.02650,2.71150,-0.36325,4,24.35,-6.58,9,0,1
0.02575,2.70950,-0.36050,5,23.96,-6.97,9,0,1
0.02650,2.71150,-0.36200,0,24.16,-6.76,9,0,1
0.03150,2.71175,-0.36325,2,24.25,-6.68,9,0,1
0.02925,2.71100,-0.36150,7,23.83,-7.10,9,0,1
0.02350,2.71250,-0.36575,1,24.30,-6.62,9,0,1
0.02225,2.71275,-0.36350,1,23.98,-6.94,10,0,1
0.02225,2.71250,-0.36125,3,24.44,-6.47,9,0,1
0.02375,2.71200,-0.36050,1,24.56,-6.36,9,0,1
0.02625,2.71250,-0.36700,2,23.45,-7.47,9,0,1
0.02750,2.71200,-0.36425,1,24.44,-6.48,9,0,1
0.02625,2.71325,-0.36425,2,24.65,-6.27,9,0,1
0.02875,2.71350,-0.36750,2,23.88,-7.04,9,0,1
0.02875,2.71275,-0.36650,2,24.21,-6.71,9,0,1
0.03000,2.71325,-0.36675,2,23.77,-7.15,9,0,1
0.03100,2.71400,-0.36775,0,24.39,-6.53,9,0,1
0.03075,2.71525,-0.36625,1,24.25,-6.66,9,0,1
0.02875,2.71350,-0.36500,4,24.51,-6.41,9,0,1
0.03000,2.71325,-0.36575,3,24.16,-6.76,9,0,1
0.02500,2.71225,-0.36375,0,24.44,-6.48,9,0,1
0.02725,2.71350,-0.36275,1,24.39,-6.53,9,0,1
0.02500,2.71225,-0.36125,2,24.34,-6.58,9,0,1
0.02750,2.71200,-0.36175,1,24.11,-6.81,9,0,1
0.02625,2.71225,-0.36075,3,24.43,-6.49,9,0,1
0.02700,2.71400,-0.36025,3,23.84,-7.07,9,0,1
0.02875,2.71225,-0.36375,2,24.23,-6.69,9,0,1
0.02875,2.71325,-0.36250,3,24.08,-6.84,9,0,1
0.03000,2.71225,-0.36325,4,24.02,-6.91,9,0,1
0.03125,2.71350,-0.36400,3,24.28,-6.64,9,0,1
0.03100,2.71375,-0.36150,3,24.45,-6.47,9,0,1
0.03025,2.71200,-0.36075,2,24.12,-6.80,10,0,1
0.02975,2.71500,-0.36150,1,24.31,-6.60,8,0,1
0.01775,2.70975,-0.35875,5,24.13,-6.79,9,0,1
0.01625,2.71025,-0.35875,1,23.71,-7.21,9,0,1
0.01875,2.71150,-0.35900,1,23.87,-7.04,8,0,1
0.01750,2.70950,-0.35750,6,24.38,-6.54,9,0,1
0.01650,2.70975,-0.35650,1,24.24,-6.68,10,0,1
0.01625,2.71025,-0.35750,1,23.82,-7.10,9,0,1
0.01875,2.71175,-0.35775,1,24.48,-6.43,9,0,1
0.01875,2.71125,-0.35650,2,24.33,-6.58,9,0,1
0.02000,2.71075,-0.36000,3,24.06,-6.86,9,0,1
0.02025,2.71000,-0.35900,3,24.28,-6.64,9,0,1
0.02125,2.71100,-0.35825,1,24.08,-6.84,10,0,1
0.02250,2.71175,-0.36000,2,23.98,-6.94,9,0,1
0.02275,2.71025,-0.35900,2,24.09,-6.83,9,0,1
0.02275,2.71125,-0.35625,4,24.13,-6.79,9,0,1
0.01900,2.70975,-0.35550,4,23.68,-7.24,9,0,1
0.01800,2.70950,-0.35475,4,23.82,-7.10,9,0,1
0.01925,2.70900,-0.35425,3,24.43,-6.49,9,0,1
0.01750,2.71150,-0.35575,2,24.06,-6.85,9,0,1
0.01625,2.71000,-0.35500,2,24.25,-6.67,9,0,1
0.01775,2.70975,-0.35350,0,24.61,-6.31,10,0,1
0.01650,2.70875,-0.35275,5,24.28,-6.64,9,0,1
0.01600,2.71150,-0.35350,3,24.42,-6.49,8,0,1
0.02125,2.71075,-0.35575,2,23.83,-7.09,9,0,1
0.02000,2.71100,-0.35600,1,24.09,-6.83,9,0,1
0.02375,2.71175,-0.35425,4,24.42,-6.49,9,0,1
0.02000,2.71100,-0.35350,2,23.92,-6.99,9,0,1
0.02000,2.71100,-0.35250,1,23.93,-6.98,9,0,1
0.02125,2.71175,-0.35300,2,24.36,-6.55,9,0,1
0.02250,2.71175,-0.35375,3,24.24,-6.67,9,0,1
0.02525,2.71050,-0.35900,1,23.61,-7.31,9,0,1
0.02650,2.71175,-0.35950,1,23.79,-7.13,9,0,1
0.02500,2.71175,-0.35625,1,24.22,-6.70,10,0,1
0.02775,2.71150,-0.35675,6,24.08,-6.84,10,0,1
0.02400,2.71025,-0.35575,2,24.24,-6.68,9,0,1
0.03025,2.71175,-0.35575,3,24.25,-6.67,9,0,1
0.01725,2.71225,-0.35950,2,24.34,-6.57,9,0,1
0.02100,2.71250,-0.35925,1,24.27,-6.64,9,0,1
0.02375,2.71200,-0.35950,2,23.99,-6.93,9,0,1
0.02000,2.71200,-0.35725,1,24.27,-6.64,9,0,1
0.02100,2.71225,-0.35675,2,24.49,-6.42,10,0,1
0.02250,2.71200,-0.35750,3,24.18,-6.73,9,0,1
0.02350,2.71225,-0.35800,1,24.20,-6.71,9,0,1
0.02325,2.71275,-0.35675,1,23.89,-7.02,9,0,1
0.01975,2.71325,-0.35450,1,24.20,-6.70,9,0,1
0.01850,2.71325,-0.35250,1,24.43,-6.47,10,0,1
0.02225,2.71250,-0.35475,2,23.97,-6.94,9,0,1
0.02100,2.71250,-0.35400,4,24.05,-6.86,10,0,1
0.02325,2.71450,-0.35275,3,24.58,-6.32,9,0,1
0.02625,2.71275,-0.35825,3,24.03,-6.89,9,0,1
0.02725,2.71350,-0.35900,1,24.41,-6.50,9,0,1
0.02500,2.71200,-0.35750,5,24.20,-6.72,8,0,1
0.02750,2.71300,-0.35775,4,24.12,-6.79,9,0,1
0.02600,2.71350,-0.35675,5,24.27,-6.64,9,0,1
0.02875,2.71225,-0.36000,3,23.86,-7.06,9,0,1
0.02875,2.71300,-0.35850,1,24.32,-6.60,9,0,1
0.03000,2.71250,-0.35950,4,23.92,-7.00,9,0,1
0.03075,2.71500,-0.36000,1,24.05,-6.86,9,0,1
0.03075,2.71550,-0.35850,1,24.05,-6.85,9,0,1
0.02850,2.71375,-0.35725,1,24.33,-6.58,9,0,1
0.03125,2.71300,-0.35775,1,24.01,-6.91,10,0,1
0.03100,2.71350,-0.35625,2,24.36,-6.55,9,0,1
0.02950,2.71425,-0.35775,4,24.42,-6.49,9,0,1
0.02975,2.71400,-0.35675,2,24.17,-6.74,9,0,1
0.02475,2.71250,-0.35500,1,24.28,-6.63,8,0,1
0.02750,2.71275,-0.35525,1,24.17,-6.74,9,0,1
0.02625,2.71300,-0.35550,1,24.14,-6.77,9,0,1
0.02475,2.71300,-0.35225,2,23.93,-6.98,9,0,1
0.02750,2.71250,-0.35400,2,24.44,-6.47,9,0,1
0.02725,2.71325,-0.35275,1,24.34,-6.57,9,0,1
0.02450,2.71425,-0.35325,2,24.39,-6.51,9,0,1
0.02575,2.71500,-0.35400,2,24.23,-6.67,9,0,1
0.02575,2.71500,-0.35275,1,24.21,-6.69,8,0,1
0.02875,2.71300,-0.35475,1,23.70,-7.21,9,0,1
0.02825,2.71500,-0.35575,1,24.39,-6.51,9,0,1
0.03050,2.71550,-0.35475,2,24.25,-6.65,9,0,1
0.02875,2.71275,-0.35375,3,23.27,-7.64,9,0,1
0.02850,2.71325,-0.35225,2,24.02,-6.89,9,0,1
0.03125,2.71325,-0.35375,4,24.39,-6.52,9,0,1
0.03000,2.71275,-0.35300,3,23.80,-7.11,9,0,1
0.03000,2.71425,-0.35400,3,24.14,-6.77,9,0,1
0.03100,2.71450,-0.35225,3,23.78,-7.12,9,0,1
0.03275,2.71175,-0.38200,3,25.22,-5.73,9,0,1
0.03675,2.71175,-0.38050,4,24.81,-6.14,9,0,1
0.03925,2.71175,-0.38075,5,24.68,-6.27,10,0,1
0.03325,2.71000,-0.37975,3,25.15,-5.80,9,0,1
0.03425,2.71100,-0.37900,4,25.00,-5.95,8,0,1
0.03250,2.71375,-0.38250,2,24.69,-6.25,10,0,1
0.03375,2.71325,-0.38225,5,24.82,-6.12,9,0,1
0.03525,2.71250,-0.38325,1,24.78,-6.17,8,0,1
0.03225,2.71475,-0.38375,3,23.55,-7.38,13,0,1
0.03275,2.71200,-0.38075,4,25.26,-5.69,9,0,1
0.03400,2.71225,-0.38125,3,25.38,-5.57,9,0,1
0.03525,2.71275,-0.38200,3,25.10,-5.85,8,0,1
0.03500,2.71325,-0.38050,3,24.96,-5.98,8,0,1
0.03775,2.71325,-0.38350,1,24.24,-6.71,10,0,1
0.03600,2.71550,-0.38325,1,23.80,-7.13,11,0,1
0.03600,2.71450,-0.38250,3,24.28,-6.66,10,0,1
0.03875,2.71400,-0.38300,2,24.61,-6.33,10,0,1
0.03625,2.71375,-0.38125,3,24.53,-6.41,8,0,1
0.03900,2.71350,-0.38175,2,24.76,-6.19,10,0,1
0.03750,2.71400,-0.38200,4,24.44,-6.50,10,0,1
0.03725,2.71475,-0.38075,1,24.67,-6.27,9,0,1
0.03325,2.71600,-0.38275,3,24.12,-6.81,10,0,1
0.03425,2.71700,-0.38325,1,23.31,-7.61,11,0,1
0.03275,2.71800,-0.38375,2,23.56,-7.36,15,0,1
0.03525,2.71825,-0.38400,2,22.66,-8.26,15,0,1
0.03825,2.71675,-0.38350,2,23.19,-7.74,11,0,1
0.03950,2.71650,-0.38325,4,24.06,-6.87,11,0,1
0.03950,2.71600,-0.38225,1,24.81,-6.12,10,0,1
0.03650,2.71850,-0.38350,0,22.92,-8.00,15,0,1
0.03925,2.71875,-0.38400,7,23.27,-7.65,15,0,1
0.03400,2.71250,-0.37975,2,25.01,-5.93,9,0,1
0.03525,2.71225,-0.37950,2,24.74,-6.21,8,0,1
0.03275,2.71225,-0.37800,5,24.69,-6.25,9,0,1
0.03375,2.71350,-0.37700,1,24.60,-6.33,9,0,1
0.03500,2.71275,-0.37800,6,25.12,-5.82,8,0,1
0.03525,2.71200,-0.37675,3,25.19,-5.75,8,0,1
0.03225,2.71400,-0.37625,2,24.55,-6.38,9,0,1
0.03775,2.71325,-0.37950,3,25.07,-5.87,10,0,1
0.03650,2.71300,-0.37900,2,24.76,-6.18,10,0,1
0.03750,2.71375,-0.37825,4,24.86,-6.08,10,0,1
0.03875,2.71300,-0.37950,1,24.58,-6.37,10,0,1
0.03900,2.71300,-0.37825,1,24.85,-6.09,10,0,1
0.03975,2.71550,-0.37850,2,24.86,-6.07,10,0,1
0.03650,2.71275,-0.37775,1,24.80,-6.14,10,0,1
0.03775,2.71300,-0.37725,6,25.01,-5.93,9,0,1
0.03650,2.71225,-0.37650,1,25.40,-5.54,10,0,1
0.03900,2.71275,-0.37675,3,24.72,-6.22,9,0,1
0.03950,2.71600,-0.37950,2,24.91,-6.02,10,0,1
0.04225,2.71525,-0.38275,5,24.94,-6.00,11,0,1
0.04350,2.71525,-0.38225,2,24.70,-6.24,10,0,1
0.04125,2.71375,-0.38075,1,25.02,-5.92,12,0,1
0.04250,2.71375,-0.38050,1,24.99,-5.96,9,0,1
0.04100,2.71575,-0.38175,3,24.95,-5.99,11,0,1
0.04000,2.71525,-0.38100,1,24.83,-6.11,10,0,1
0.04375,2.71400,-0.38125,3,25.76,-5.19,10,0,1
0.04750,2.71550,-0.38275,0,25.11,-5.84,10,0,1
0.04475,2.71575,-0.38175,2,24.75,-6.19,10,0,1
0.04750,2.71500,-0.38150,2,24.86,-6.09,10,0,1
0.04100,2.71600,-0.38300,4,24.30,-6.64,11,0,1
0.04200,2.71625,-0.38375,5,24.46,-6.48,11,0,1
0.04300,2.71750,-0.38325,2,23.95,-6.98,11,0,1
0.04050,2.71850,-0.38350,2,23.41,-7.51,13,0,1
0.04200,2.71625,-0.38125,1,25.08,-5.85,10,0,1
0.04575,2.71675,-0.38275,2,24.93,-6.01,10,0,1
0.04450,2.71725,-0.38275,3,24.32,-6.61,10,0,1
0.04700,2.71825,-0.38350,3,23.85,-7.08,11,0,1
0.04550,2.71750,-0.38150,2,25.48,-5.45,10,0,1
0.04450,2.71700,-0.38050,1,24.59,-6.34,10,0,1
0.04575,2.71700,-0.38025,4,24.75,-6.18,9,0,1
0.04150,2.71350,-0.37950,5,24.71,-6.24,9,0,1
0.04225,2.71450,-0.37900,1,25.04,-5.90,9,0,1
0.04025,2.71275,-0.37775,3,25.07,-5.88,9,0,1
0.04100,2.71550,-0.37775,1,24.69,-6.24,9,0,1
0.04325,2.71575,-0.37725,0,24.83,-6.10,9,0,1
0.04600,2.71550,-0.37925,2,25.04,-5.90,10,0,1
0.04625,2.71500,-0.37825,3,24.52,-6.42,10,0,1
0.04475,2.71550,-0.37675,4,24.65,-6.29,9,0,1
0.04725,2.71575,-0.37625,3,24.42,-6.52,10,0,1
0.04325,2.71600,-0.37975,3,24.69,-6.24,9,0,1
0.04325,2.71600,-0.37825,1,25.06,-5.87,9,0,1
0.04175,2.71700,-0.37725,1,24.89,-6.04,9,0,1
0.04100,2.71625,-0.37650,2,24.71,-6.22,9,0,1
0.04225,2.71625,-0.37625,1,24.89,-6.04,9,0,1
0.04425,2.71750,-0.37900,3,24.48,-6.45,10,0,1
0.04725,2.71650,-0.38000,1,24.87,-6.07,9,0,1
0.04700,2.71700,-0.37875,0,25.13,-5.80,9,0,1
0.04475,2.71600,-0.37800,2,24.70,-6.23,9,0,1
0.04575,2.71675,-0.37650,2,24.65,-6.28,10,0,1
0.04725,2.71625,-0.37750,4,24.43,-6.51,10,0,1
0.03275,2.71175,-0.37550,2,24.42,-6.52,9,0,1
0.03425,2.71175,-0.37250,3,24.34,-6.60,9,0,1
0.03375,2.71300,-0.37600,1,24.70,-6.24,9,0,1
0.03275,2.71225,-0.37425,1,24.17,-6.77,9,0,1
0.03375,2.71325,-0.37450,2,24.29,-6.64,9,0,1
0.03525,2.71225,-0.37575,6,24.38,-6.56,8,0,1
0.03525,2.71250,-0.37425,2,24.48,-6.46,8,0,1
0.03375,2.71275,-0.37350,3,24.62,-6.31,9,0,1
0.03500,2.71350,-0.37275,4,24.74,-6.19,9,0,1
0.03225,2.71450,-0.37225,1,24.61,-6.31,9,0,1
0.03650,2.71325,-0.37500,2,24.72,-6.22,9,0,1
0.03900,2.71300,-0.37550,3,24.71,-6.23,9,0,1
0.03725,2.71500,-0.37550,4,24.94,-5.99,9,0,1
0.03750,2.71450,-0.37425,3,24.77,-6.16,9,0,1
0.03875,2.71350,-0.37275,6,24.22,-6.72,9,0,1
0.03625,2.71400,-0.37375,2,24.85,-6.08,10,0,1
0.03600,2.71425,-0.37250,1,24.46,-6.47,9,0,1
0.03850,2.71525,-0.37400,1,24.65,-6.28,9,0,1
0.03975,2.71525,-0.37325,3,24.35,-6.58,10,0,1
0.03700,2.71675,-0.37225,1,24.54,-6.38,8,0,1
0.03500,2.71375,-0.37150,1,24.65,-6.28,9,0,1
0.03400,2.71325,-0.37075,3,24.15,-6.78,8,0,1
0.03525,2.71300,-0.37025,4,24.22,-6.71,8,0,1
0.03225,2.71400,-0.37100,1,24.21,-6.72,9,0,1
0.03375,2.71275,-0.36975,1,24.18,-6.75,8,0,1
0.03225,2.71375,-0.36975,1,24.08,-6.85,9,0,1
0.03250,2.71275,-0.36900,5,23.90,-7.03,9,0,1
0.03475,2.71500,-0.36850,1,23.90,-7.02,8,0,1
0.03650,2.71350,-0.37125,3,24.65,-6.28,9,0,1
0.03750,2.71450,-0.37175,2,24.18,-6.75,9,0,1
0.03875,2.71425,-0.37150,5,24.41,-6.52,9,0,1
0.03975,2.71550,-0.37075,1,24.23,-6.70,9,0,1
0.03675,2.71250,-0.37000,3,24.57,-6.37,10,0,1
0.03875,2.71375,-0.36900,1,24.19,-6.74,9,0,1
0.03625,2.71450,-0.36850,2,24.21,-6.71,10,0,1
0.03850,2.71500,-0.37000,1,24.43,-6.49,9,0,1
0.03975,2.71525,-0.36950,1,24.28,-6.65,9,0,1
0.03975,2.71525,-0.36825,3,23.76,-7.16,10,0,1
0.03700,2.71650,-0.37000,1,24.65,-6.27,9,0,1
0.03700,2.71600,-0.36875,2,24.58,-6.34,9,0,1
0.04125,2.71425,-0.37550,1,24.53,-6.41,9,0,1
0.04000,2.71500,-0.37600,4,24.56,-6.37,10,0,1
0.04000,2.71475,-0.37475,2,24.44,-6.49,9,0,1
0.04000,2.71425,-0.37225,1,23.91,-7.02,9,0,1
0.04250,2.71425,-0.37400,1,24.42,-6.52,9,0,1
0.04375,2.71500,-0.37350,4,24.40,-6.53,9,0,1
0.04225,2.71550,-0.37250,2,24.25,-6.68,10,0,1
0.04475,2.71575,-0.37425,3,24.22,-6.71,10,0,1
0.04750,2.71525,-0.37375,5,24.40,-6.54,9,0,1
0.04325,2.71700,-0.37575,1,24.36,-6.57,10,0,1
0.04200,2.71675,-0.37475,1,24.48,-6.45,9,0,1
0.04350,2.71600,-0.37450,1,24.14,-6.79,10,0,1
0.04100,2.71625,-0.37400,1,24.34,-6.58,9,0,1
0.04100,2.71600,-0.37275,1,24.11,-6.82,9,0,1
0.04450,2.71700,-0.37525,1,24.53,-6.40,10,0,1
0.04600,2.71625,-0.37525,1,24.54,-6.39,10,0,1
0.04725,2.71675,-0.37475,3,24.63,-6.30,9,0,1
0.04425,2.71725,-0.37275,3,24.02,-6.90,10,0,1
0.04575,2.71700,-0.37250,4,24.32,-6.61,9,0,1
0.04750,2.71600,-0.37250,3,24.25,-6.68,9,0,1
0.04550,2.71800,-0.37375,4,24.54,-6.38,10,0,1
0.04100,2.71525,-0.37150,5,24.09,-6.84,9,0,1
0.04125,2.71500,-0.37025,5,24.45,-6.48,9,0,1
0.04350,2.71525,-0.37100,4,23.76,-7.17,10,0,1
0.04375,2.71350,-0.36975,4,23.40,-7.54,9,0,1
0.04100,2.71550,-0.36900,2,24.12,-6.81,9,0,1
0.04250,2.71475,-0.37000,1,24.13,-6.80,9,0,1
0.04350,2.71525,-0.36850,2,24.06,-6.87,9,0,1
0.04600,2.71525,-0.37025,3,24.17,-6.76,9,0,1
0.04475,2.71550,-0.36900,3,23.90,-7.03,9,0,1
0.04325,2.71650,-0.37175,2,24.08,-6.84,9,0,1
0.04225,2.71625,-0.37100,1,23.79,-7.13,9,0,1
0.04225,2.71600,-0.36850,1,24.31,-6.61,9,0,1
0.04575,2.71700,-0.37150,3,23.71,-7.22,9,0,1
0.04425,2.71825,-0.37125,1,24.15,-6.77,9,0,1
0.04450,2.71700,-0.37000,4,23.86,-7.06,9,0,1
0.04525,2.71875,-0.36850,0,24.03,-6.88,9,0,1
0.04675,2.71850,-0.36950,2,24.41,-6.51,9,0,1
